x,y
0.8,0.0
0.7919647942993149,0.08927844739931833
0.7681174353198685,0.17568741204067134
0.7292243968009331,0.25644963870295306
0.6765357330018055,0.3289693629698563
0.6117449009293667,0.3909157412340149
0.5369343312364994,0.440297765928369
0.4545084971874737,0.47552825814757677
0.3671166329088278,0.49547488088396735
0.27756758482474253,0.49949653327065735
0.18873953302184282,0.4874639560909118
0.10348748417303821,0.45976388627572534
0.02455150927394878,0.4172866268606513
-0.045531324493432335,0.3613974319136958
-0.10450849718747368,0.2938926261462366
-0.15048443395120953,0.21694186955877912
-0.18198143034792663,0.13301842278333761
-0.19798714699761955,0.04481965445171681
-0.19798714699761955,-0.044819654451716685
-0.1819814303479267,-0.1330184227833375
-0.15048443395120958,-0.216941869558779
-0.10450849718747379,-0.2938926261462365
-0.04553132449343239,-0.3613974319136957
0.02455150927394867,-0.41728662686065127
0.1034874841730381,-0.4597638862757253
0.1887395330218427,-0.4874639560909118
0.2775675848247424,-0.4994965332706573
0.3671166329088276,-0.4954748808839674
0.4545084971874736,-0.4755282581475768
0.5369343312364993,-0.44029776592836906
0.6117449009293667,-0.39091574123401496
0.6765357330018054,-0.3289693629698564
0.729224396800933,-0.2564496387029532
0.7681174353198685,-0.17568741204067145
0.7919647942993149,-0.08927844739931844
